timestamp,test_name,passed,message
20250429_143047,Actor update basic run,True,Function executed without errors
20250429_143047,Optimizer state updated,True,Expected optimizer state to be updated
20250429_143047,Actor parameters updated,True,Expected parameters to change
20250429_143047,Actor loss is scalar,True,"Expected scalar loss, got shape ()"
20250429_143047,Log probabilities shape matches batch,True,"Expected shape (4,), got (4,)"
20250429_143047,Action standard deviations valid,True,"Expected action_std to be in (0, 1], got range: 0.5057592391967773 to 0.5217016339302063"
20250429_143047,Gradient clipping affects loss,True,"Expected different losses, got: low_clip=-0.4547981023788452, high_clip=-0.45480117201805115"
20250429_143047,Losses vary with different clip norms,True,"Expected variation in losses, got std=9.35167350212438e-06"
20250429_143047,Temperature affects loss,True,Expected different losses for different temperatures
20250429_143047,Higher temperature decreases log probabilities,True,"Expected log probs to decrease with higher temperature: first=-1.2977492809295654, last=-1.312976598739624"
20250429_143047,Higher Q-values decrease actor loss,True,"Expected loss to decrease with higher Q-values: first=-0.36259299516677856, last=-100.26258850097656"
20250429_143047,Higher temperature increases policy entropy,True,"Expected entropy to increase with temperature: first=0.7415, last=0.7489"
20250429_143047,Temperature negatively correlates with log probabilities,False,"Expected strong negative correlation, got -0.3512"
20250429_143047,Strong correlation between temperature and entropy,False,"Expected strong correlation, got 0.3512"
